"","X","Y","Tree_loss","Pop_densit","Dist_sett","Slope","Elevation","Annual_Rai","Dist_track","Dist_road","Dist_river","Dist_edge","Dist_defor","treated"
"71",898605,7962315,0,0.133427217603,3059.41162109,14.2220506668,788,1951,2601.8840332,15295.4404297,3939.26391602,170,169.705627441,1
"72",900105,7962315,0,0.104210659862,2765.86328125,18.8087368011,826,1971,2089.04272461,15141.6806641,3384.15429688,175,492.036590576,1
"73",900255,7962315,0,0.103477656841,2779.65820313,21.0659732819,774,1971,2061.94091797,15134.3974609,3289.07275391,124,417.851654053,1
"74",900405,7962315,0,0.0990413576365,2801.42822266,10.8250436783,746,1971,2045.50732422,15128.5986328,3198.20263672,134,324.499603271,1
"75",900555,7962315,0,0.0971997603774,2830.98925781,17.9013633728,781,1902,2040,15124.2851563,3111.91259766,242,271.661560059,1
"76",900705,7962315,0,0.0945361927152,2868.1003418,7.14066934586,823,1902,2040,15121.4580078,3030.59399414,285,284.604980469,1
"77",900855,7962315,0,0.0906984806061,2847.63061523,13.6557855606,844,1902,2040,15120.1191406,2954.65722656,361,361.247833252,1
"78",901005,7962315,0,0.0848519802094,2808.64746094,11.9452695847,882,1902,2040,15120.0292969,2884.52758789,474,474.341644287,1
"79",901155,7962315,0,0.0827757194638,2777.22875977,15.3324594498,908,1902,2040,15121.0712891,2820.63818359,604,603.738342285,1
"80",901305,7962315,0,0.0808627083898,2753.6340332,5.32285261154,948,1902,2041.984375,15123.6005859,2763.421875,741,740.9453125,1
"81",901455,7962315,0,0.080806709826,2738.06494141,6.89389324188,932,1902,2054.0690918,15127.6171875,2713.30053711,845,882.326477051,1
"82",901605,7962315,0,0.0801003277302,2730.65917969,15.1865339279,915,1938,2076.94482422,15133.1191406,2670.67407227,859,1026.15783691,1
"83",901755,7962315,0,0.0875543057919,2731.4831543,17.0831432343,876,1938,2110.26074219,15140.1054688,2635.90600586,808,1098.58996582,1
"84",901905,7962315,0,0.0906674712896,2740.52905273,9.19103336334,844,1938,2153.53198242,15148.5742188,2609.31030273,782,1015.13543701,1
"85",902055,7962315,0,0.0935932174325,2757.71655273,15.6128282547,828,1938,2206.1730957,15158.5224609,2591.13867188,780,894.986022949,1
"86",902205,7962315,0,0.0902611613274,2782.89428711,10.7444162369,832,1938,2267.53173828,15169.9472656,2581.56933594,743,785.175109863,1
"87",902355,7962315,0,0.0927481129766,2815.84790039,6.1373796463,814,1938,2334.80200195,15182.8457031,2580.69750977,649,690.651855469,1
"88",902505,7962315,0,0.0931056141853,2813.28979492,18.0041618347,844,1967,2407.86206055,15197.2138672,2588.5324707,579,618.465820313,1
"89",902655,7962315,0,0.0914137512445,2674.71484375,18.568611145,876,1967,2485.65893555,15213.046875,2604.99511719,543,577.061523438,1
"90",902805,7962315,0,0.0910507142544,2537.43969727,22.1343860626,888,1967,2552.11669922,15230.3417969,2629.92407227,509,509.116882324,1
"91",902955,7962315,0,0.0952337905765,2401.68701172,12.9588422775,825,1967,2601.8840332,15249.0917969,2663.08081055,408,408.044128418,1
"92",895905,7962165,0,0.167198196054,4327.49365234,30.1030521393,626,2028,831.925476074,15571.4160156,1235.83984375,716,782.304260254,1
"93",896055,7962165,0,0.163906544447,4413.671875,32.5280456543,712,2028,966.074523926,15549.2929688,1385.20751953,845,931.93347168,1
"94",896205,7962165,0,0.159613057971,4410.10205078,16.0670795441,768,1901,1100.22729492,15528.5869141,1534.6986084,979,1060.66015625,1
"95",896355,7962165,0,0.151802614331,4411.63232422,12.7558717728,800,1901,1236.93164063,15509.3037109,1684.28027344,990,1050,1
"96",896505,7962165,0,0.135064721107,4418.2578125,13.91959095,798,1901,1376.4083252,15491.4492188,1833.93017578,997,1053.85009766,1
"97",896655,7962165,10,0.130073294044,4377.328125,6.46662521362,792,1901,1517.89331055,15475.0283203,1983.63305664,1026,1077.0793457,1
"98",896805,7962165,0,0.130956083536,4266.43896484,12.4722633362,804,1901,1660.87329102,15460.0449219,2133.37768555,1075,1120.0892334,1
"99",896955,7962165,0,0.12312168628,4158.00439453,21.4391841888,828,1901,1804.99304199,15446.5048828,2283.15576172,1142,1180.72009277,1
"100",897105,7962165,0,0.126033842564,4052.22167969,10.8601112366,844,1844,1950,15434.4091797,2432.96118164,1148,1256.42346191,1
"101",897255,7962165,0,0.121190778911,3949.30371094,12.7139968872,872,1844,2095.70996094,15410.921875,2582.78930664,1106,1178.81298828,1
"102",897405,7962165,0,0.111823990941,3849.48046875,17.7753162384,895,1844,2241.78491211,15375.9873047,2732.63598633,1034,1034.4564209,1
"103",897555,7962165,0,0.109122797847,3752.9987793,21.6679210663,912,1844,2379.28564453,15342.4414063,2882.49902344,892,891.964111328,1
"104",897705,7962165,0,0.110480897129,3660.12304688,20.4814434052,928,1844,2492.88989258,15310.2910156,3032.37524414,752,752.396179199,1
"105",897855,7962165,0,0.116661205888,3571.13427734,23.0215263367,984,1844,2610.17236328,15279.5449219,3182.26342773,618,617.737792969,1
"106",898005,7962165,0,0.11548884958,3486.33056641,26.496471405,940,1844,2730.65917969,15250.2128906,3332.16137695,492,492.036590576,1
"107",898155,7962165,0,0.116012923419,3406.02416992,20.9915828705,873,1883,2853.94458008,15222.3027344,3482.06835938,384,384.187469482,1
"108",898305,7962165,0,0.116807952523,3330.54052734,26.762796402,800,1883,2858.19873047,15195.8222656,3631.98291016,309,308.868896484,1
"109",898455,7962165,9,0.119008138776,3260.21459961,17.4220046997,786,1883,2796.92700195,15170.7773438,3781.90429688,270,270,1
"110",898605,7962165,0,0.126803055406,3195.38720703,19.0269088745,808,1883,2741.67822266,15147.1777344,3931.83154297,295,295.46572876,1
"111",898755,7962165,0,0.133984416723,3136.39916992,13.519692421,840,1883,2686.13110352,15125.0292969,4081.7644043,382,381.837677002,1
"112",899355,7962165,0,0.152220830321,2965.29931641,25.074552536,793,1896,2485.65893555,15051.0634766,3814.24951172,424,891.964111328,1
"113",899805,7962165,0,0.153571635485,2912.47314453,21.0141639709,800,1896,2314.86499023,15011.0957031,3479.22412109,488,807.217468262,1
"114",899955,7962165,0,0.156244173646,2910.15454102,14.5387601852,837,1896,2270.70483398,15000.75,3373.49975586,384,702.922485352,1
"115",900105,7962165,0,0.0955338925123,2915.56176758,18.1336765289,825,1894,2235.75488281,14991.8974609,3271.23828125,313,617.737792969,1
