"","coef","se","unmatched","mean_std_diff","max_std_diff","parralel_trend","Pop_density","Dist_sett","Annual_Rain","Dist_track","Dist_river","cal025","cal05","cal1","replacement","maha","glm","rf","ratio1","ratio5","ratio10"
"36",-3.00204254363071,0.470972503991268,11,0.257656353239656,1.11998960189564,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"37",-3.05155605205916,0.485900149696743,0,0.0168625834648939,0.0388172136535334,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"38",-3.10800847396453,0.467550000675354,0,0.0213926671911753,0.0440687755489672,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"39",-3.06522619045981,0.458412868406098,0,0.0238310345879971,0.0457804776551038,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"40",-3.11616716732972,0.500196650755278,0,0.0734657177794877,0.159722418833252,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"41",-3.06573408836696,0.468502470044585,0,0.0749362181461018,0.154051658011822,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"42",-3.07582289864592,0.455879480907986,0,0.0773402598466595,0.153622068031371,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"43",-3.03148483125495,0.508036943783863,0,0.0364786170988863,0.116251032488508,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"44",-3.0261300422161,0.476844380840119,0,0.0428819388853513,0.0886330794208227,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"45",-2.92506438381991,0.454981091113286,0,0.0537461199927398,0.13729147564487,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"46",-3.18491986068912,0.48254435371257,0,0.0187543455960665,0.0399623399922908,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
